feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
b407c0316dbd17ba50708ee7a6bb48e6	supplement	MNP	-0.00739151819785499	0.0018864662748467	59	10	0.00024509821701466	0.0509804291390492
b407c0316dbd17ba50708ee7a6bb48e6	supplement	FeSO4	-0.00677584173978181	0.00211403268511858	59	10	0.00223035344490086	0.231956758269689
X99bccd58aaeb00f98e22add40be6e36b	supplement	MNP	0.00761319606023096	0.00893822967241355	59	17	0.397977076752094	0.841965913305904
X6420671c26eef32065e0275c8cd6701e	supplement	MNP	0.0128517955721692	0.0118599685762666	59	33	0.283173333483914	0.841965913305904
f864ed2c52dd0ee16ed932d4c4c166de	supplement	FeSO4	0.0134353341192163	0.0142914907421263	59	13	0.351207260444243	0.841965913305904
f864ed2c52dd0ee16ed932d4c4c166de	supplement	MNP	-0.0107009209584394	0.0127530740144601	59	13	0.404988977522872	0.841965913305904
b4f28264f150902936030ef29ce2a10a	supplement	FeSO4	0.00315912182111814	0.00353854923489395	59	7	0.375799166067293	0.841965913305904
b4f28264f150902936030ef29ce2a10a	supplement	MNP	0.00254142423208897	0.00315763982293283	59	7	0.424310636714133	0.841965913305904
X9b6acfb0708fe91f75081d6801659932	supplement	FeSO4	0.00768245823577964	0.0075118006635403	59	10	0.310838773584776	0.841965913305904
X9b6acfb0708fe91f75081d6801659932	supplement	MNP	0.00926956457366755	0.00670318804193181	59	10	0.172197590116153	0.841965913305904
X5cb0182033909c6dea7fc6cb598436a5	supplement	MNP	0.00180130769921408	0.00220583675789053	59	8	0.417611904793952	0.841965913305904
e93b313352019b8113e7fc66bf757917	supplement	MNP	0.00214466886093759	0.00122605210633745	59	6	0.0857270731329742	0.841965913305904
X9ee9d7f1e7a96963f1ee2668f858fced	supplement	FeSO4	-0.00276782984115154	0.0025528851504831	59	6	0.28292338387405	0.841965913305904
X9ee9d7f1e7a96963f1ee2668f858fced	supplement	MNP	-0.00510232919530585	0.00227807818386364	59	6	0.0290950777709672	0.841965913305904
X1569f7ae988e26c905ab8fab427c8a0d	supplement	MNP	0.00550155920747714	0.00442764206632792	59	12	0.219212330785399	0.841965913305904
X08a0cf376add32f3f4b57ec1e82a7a27	supplement	FeSO4	0.0257319081313115	0.0296049998291416	59	25	0.388461851978802	0.841965913305904
be22632d5e3f6175707a3213d7a90ad2	supplement	FeSO4	-0.0260624095175059	0.0206362913958944	59	23	0.211843935523182	0.841965913305904
be22632d5e3f6175707a3213d7a90ad2	supplement	MNP	-0.0160127449455431	0.0184148845144655	59	23	0.388255829791693	0.841965913305904
eafd20ce1f25fbd8c737f0086f81c11b	supplement	FeSO4	0.0266197781365195	0.0235812227260578	59	43	0.263771815600125	0.841965913305904
X44158349d8858abc6c04aada0c131da5	supplement	FeSO4	-0.0608682957135292	0.0299269093273053	59	30	0.0467095594137683	0.841965913305904
X44158349d8858abc6c04aada0c131da5	supplement	MNP	-0.0450858015338525	0.026705407893535	59	30	0.0969225091027771	0.841965913305904
X4b7712254e4dd8d5bc585d4a6c5c2e88	supplement	FeSO4	0.0162466399658897	0.0112215526618198	59	19	0.153246778110292	0.841965913305904
