"term","estimate","std.error","statistic","p.value"
"ferritin8.8:supplementMNP",NA,NA,NA,NA
"ferritin9:supplementMNP",NA,NA,NA,NA
"ferritin10.3:supplementNone",NA,NA,NA,NA
"ferritin11:supplementNone",NA,NA,NA,NA
"ferritin11.1:supplementNone",NA,NA,NA,NA
"ferritin11.6:supplementNone",NA,NA,NA,NA
"ferritin13.5:supplementNone",NA,NA,NA,NA
"ferritin13.8:supplementNone",NA,NA,NA,NA
"ferritin14.1:supplementNone",NA,NA,NA,NA
"ferritin14.3:supplementNone",NA,NA,NA,NA
"ferritin14.5:supplementNone",NA,NA,NA,NA
"ferritin16.6:supplementNone",NA,NA,NA,NA
"ferritin18.9:supplementNone",NA,NA,NA,NA
"ferritin19.2:supplementNone",NA,NA,NA,NA
"ferritin2.7:supplementNone",NA,NA,NA,NA
"ferritin20.3:supplementNone",NA,NA,NA,NA
"ferritin20.6:supplementNone",NA,NA,NA,NA
"ferritin22.1:supplementNone",NA,NA,NA,NA
"ferritin23.7:supplementNone",NA,NA,NA,NA
"ferritin26.4:supplementNone",NA,NA,NA,NA
"ferritin27:supplementNone",NA,NA,NA,NA
"ferritin27.4:supplementNone",NA,NA,NA,NA
"ferritin28:supplementNone",NA,NA,NA,NA
"ferritin29.8:supplementNone",NA,NA,NA,NA
"ferritin32.5:supplementNone",NA,NA,NA,NA
"ferritin34.8:supplementNone",NA,NA,NA,NA
"ferritin35:supplementNone",NA,NA,NA,NA
"ferritin35.3:supplementNone",NA,NA,NA,NA
"ferritin35.9:supplementNone",NA,NA,NA,NA
"ferritin37.3:supplementNone",NA,NA,NA,NA
"ferritin38.9:supplementNone",NA,NA,NA,NA
"ferritin4.3:supplementNone",NA,NA,NA,NA
"ferritin4.8:supplementNone",NA,NA,NA,NA
"ferritin40.8:supplementNone",NA,NA,NA,NA
"ferritin41.2:supplementNone",NA,NA,NA,NA
"ferritin46.6:supplementNone",NA,NA,NA,NA
"ferritin5.3:supplementNone",NA,NA,NA,NA
"ferritin50.8:supplementNone",NA,NA,NA,NA
"ferritin58.9:supplementNone",NA,NA,NA,NA
"ferritin6.2:supplementNone",NA,NA,NA,NA
"ferritin61.1:supplementNone",NA,NA,NA,NA
"ferritin66.8:supplementNone",NA,NA,NA,NA
"ferritin70.7:supplementNone",NA,NA,NA,NA
"ferritin76.8:supplementNone",NA,NA,NA,NA
"ferritin8.2:supplementNone",NA,NA,NA,NA
"ferritin8.8:supplementNone",NA,NA,NA,NA
"ferritin9:supplementNone",NA,NA,NA,NA
